 format: day,hour,value location:62_128 Start : 20220101 
 7, 1300, 74.000000 
 7, 1400, 69.000000 
 7, 1500, 121.000000 
 7, 1600, 77.000000 
 7, 1700, 76.000000 
 7, 1800, 69.000000 
 7, 1900, 69.000000 
 7, 2000, 68.000000 
 7, 2100, 79.000000 
 7, 2200, 52.000000 
 7, 2300, 65.000000 
 8, 0000, 68.000000 
 8, 0100, 198.000000 
 8, 0200, 285.000000 
 8, 0300, 16.000000 
 8, 0400, 66.000000 
 8, 0500, 225.000000 
 8, 0600, 251.000000 
 8, 0700, 256.000000 
 8, 0800, 271.000000 
 8, 0900, 261.000000 
 8, 1000, 301.000000 
 8, 1100, 72.000000 
 8, 1200, 45.000000 
 8, 1300, 60.000000 
 8, 1400, 92.000000 
 8, 1500, 68.000000 
 8, 1600, 77.000000 
 8, 1700, 61.000000 
 8, 1800, 74.000000 
 8, 1900, 67.000000 
 8, 2000, 85.000000 
 8, 2100, 51.000000 
 8, 2200, 66.000000 
 8, 2300, 48.000000 
 9, 0000, 64.000000 
 9, 0100, 76.000000 
 9, 0200, 331.000000 
 9, 0300, 274.000000 
 9, 0400, 223.000000 
 9, 0500, 255.000000 
 9, 0600, 197.000000 
 9, 0700, 72.000000 
 9, 0800, 62.000000 
 9, 0900, 62.000000 
 9, 1000, 60.000000 
 9, 1100, 67.000000 
 9, 1200, 48.000000 
 9, 1300, 59.000000 
 9, 1400, 64.000000 
 9, 1500, 72.000000 
 9, 1600, 73.000000 
 9, 1700, 82.000000 
 9, 1800, 73.000000 
 9, 1900, 76.000000 
 9, 2000, 75.000000 
 9, 2100, 74.000000 
 9, 2200, 72.000000 
 9, 2300, 75.000000 
 10, 0000, 69.000000 
 10, 0100, 237.000000 
 10, 0200, 211.000000 
 10, 0300, 229.000000 
 10, 0400, 261.000000 
 10, 0500, 260.000000 
 10, 0600, 273.000000 
 10, 0700, 241.000000 
 10, 0800, 282.000000 
 10, 0900, 256.000000 
 10, 1000, 229.000000 
 10, 1100, 63.000000 
 10, 1200, 78.000000 
 10, 1300, 71.000000 
 10, 1400, 80.000000 
 10, 1500, 70.000000 
 10, 1600, 75.000000 
 10, 1700, 67.000000 
 10, 1800, 58.000000 
 10, 1900, 81.000000 
 10, 2000, 68.000000 
 10, 2100, 77.000000 
 10, 2200, 75.000000 
 10, 2300, 77.000000 
 11, 0000, 72.000000 
 11, 0100, 353.000000 
 11, 0200, 272.000000 
 11, 0300, 216.000000 
 11, 0400, 226.000000 
 11, 0500, 254.000000 
